Timestamp,Gender,Age,Staff Category,Years of service in Achievers University ,There is open communication among staff in my department/unit.,Team members share relevant information freely.,Management communicates innovation-related goals clearly.,Feedback is encouraged within teams,Effective communication improves teamwork in this university.,The university encourages new ideas from staff.,Innovative teaching or administrative practices are supported.,Staff are encouraged to suggest improvements.,Organisational productivity at Achievers University has improved over the past few years.,The university adapts quickly to changes in the education sector.,Staff work together to solve institutional problems,Teaching and non-teaching staff collaborate effectively.,Teams support one another in achieving tasks,Inter-departmental collaboration is encouraged.,Collaboration enhances performance in my unit.,Collaboration enhances performance in my unit.,Team members work towards common objectives.,Goals are clearly defined within my department/unit.,There is alignment between personal goals and university goals.,Shared goals improve team effectiveness.
2026/04/17 11:35:56 AM GMT+1,Male,40-49 years,Teaching,Less than 5 years,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/04/27 3:03:49 PM GMT+1,Male,40-49 years,Teaching,5-10 years,Strongly agree,Strongly agree,Strongly disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree
2026/05/01 1:24:16 PM GMT+1,Female,20-29 years,Teaching,5-10 years,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree
2026/05/01 1:31:48 PM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
2026/05/01 1:43:10 PM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2026/05/03 1:02:54 AM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree
2026/05/04 6:13:15 AM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree
2026/05/04 6:59:26 AM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree
2026/05/04 8:39:33 AM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
2026/05/04 9:31:30 AM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2026/05/04 9:58:00 AM GMT+1,Male,20-29 years,Non teaching,5-10 years,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree
2026/05/04 10:20:43 AM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral
2026/05/04 11:07:57 AM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
